task_run__calibration,task_run__created,task_run__finish_time,task_run__id,task_run__info,task_run__project_id,task_run__task_id,task_run__timeout,task_run__user_id,task_run__user_ip,task_runinfo__Days_Since_Last_Inspection,task_runinfo__Facility_Name,task_runinfo__Facility_State,task_runinfo__Facility_Street,task_runinfo__X_id,task_runinfo__area,task_runinfo__certain,task_runinfo__multiple,task_runinfo__skip,task_runinfo__task_id
None,2014-04-11T18:02:24.061996,2014-04-11T18:02:24.062013,629898,"{""X_id"": ""ObjectID(52605256cdc3fd11fee7714c)"", ""task_id"": 501701, ""Facility_State"": ""RI"", ""skip"": 0, ""Facility_Name"": ""AMERICAN DISPOSAL INC"", ""area"": [{""area"": 74336.87923931186, ""id"": ""OpenLayers_Feature_Vector_340"", ""area_geometry"": ""{\""type\"":\""Polygon\"",\""coordinates\"":[[[-71.52917097350966,41.79511484405755],[-71.52558754226494,41.794442949779835],[-71.52535150787226,41.79418698820184],[-71.52558754226494,41.79372305523759],[-71.52535150787226,41.79346709078472],[-71.5255231692486,41.79284317314954],[-71.52661751052746,41.792363232374484],[-71.52691791793649,41.79292316292956],[-71.52764747878908,41.79325911891466],[-71.53013656875494,41.79377104845862],[-71.53005073806587,41.79457093018485],[-71.53013656875494,41.795786731291805],[-71.52917097350966,41.79511484405755]]]}""}], ""Days_Since_Last_Inspection"": ""never"", ""certain"": ""0"", ""Facility_Street"": ""23 GREEN HILL RD"", ""multiple"": 0}",1402,501701,None,4038,None,never,AMERICAN DISPOSAL INC,RI,23 GREEN HILL RD,ObjectID(52605256cdc3fd11fee7714c),"[{u'area': 74336.87923931186, u'id': u'OpenLayers_Feature_Vector_340', u'area_geometry': u'{""type"":""Polygon"",""coordinates"":[[[-71.52917097350966,41.79511484405755],[-71.52558754226494,41.794442949779835],[-71.52535150787226,41.79418698820184],[-71.52558754226494,41.79372305523759],[-71.52535150787226,41.79346709078472],[-71.5255231692486,41.79284317314954],[-71.52661751052746,41.792363232374484],[-71.52691791793649,41.79292316292956],[-71.52764747878908,41.79325911891466],[-71.53013656875494,41.79377104845862],[-71.53005073806587,41.79457093018485],[-71.53013656875494,41.795786731291805],[-71.52917097350966,41.79511484405755]]]}'}]",0,0,0,501701
None,2014-04-11T18:02:56.660754,2014-04-11T18:02:56.660769,629899,"{""X_id"": ""ObjectID(52605256cdc3fd11fee7714c)"", ""task_id"": 501701, ""Facility_State"": ""RI"", ""skip"": 0, ""Facility_Name"": ""AMERICAN DISPOSAL INC"", ""area"": [{""area"": 8977.97979489246, ""id"": ""OpenLayers_Feature_Vector_333"", ""area_geometry"": ""{\""type\"":\""Polygon\"",\""coordinates\"":[[[-71.5351442529862,41.796290642095855],[-71.53504769346168,41.79572274233574],[-71.53353492757743,41.79555877034209],[-71.5338782503319,41.796398622467144],[-71.5351442529862,41.796290642095855]]]}""}], ""Days_Since_Last_Inspection"": ""never"", ""certain"": -1, ""Facility_Street"": ""23 GREEN HILL RD"", ""multiple"": 0}",1402,501701,None,None,216.165.95.69,never,AMERICAN DISPOSAL INC,RI,23 GREEN HILL RD,ObjectID(52605256cdc3fd11fee7714c),"[{u'area': 8977.97979489246, u'id': u'OpenLayers_Feature_Vector_333', u'area_geometry': u'{""type"":""Polygon"",""coordinates"":[[[-71.5351442529862,41.796290642095855],[-71.53504769346168,41.79572274233574],[-71.53353492757743,41.79555877034209],[-71.5338782503319,41.796398622467144],[-71.5351442529862,41.796290642095855]]]}'}]",-1,0,0,501701
None,2014-04-11T18:03:09.583790,2014-04-11T18:03:09.583808,629900,"{""X_id"": ""ObjectID(52605256cdc3fd11fee7714c)"", ""task_id"": 501701, ""Facility_State"": ""RI"", ""skip"": 0, ""Facility_Name"": ""AMERICAN DISPOSAL INC"", ""area"": [{""area"": 1275812.2144902814, ""id"": ""OpenLayers_Feature_Vector_316"", ""area_geometry"": ""{\""type\"":\""Polygon\"",\""coordinates\"":[[[-71.54515693923918,41.80168943778234],[-71.54556463501001,41.803576909408534],[-71.54500673553467,41.805496315059536],[-71.54174516937259,41.80946290452485],[-71.53814028045605,41.811765972803336],[-71.53316210052432,41.81240569929658],[-71.52818392059349,41.81112623992038],[-71.52681062957741,41.80984675498796],[-71.52646730682385,41.808439292045485],[-71.5286989047243,41.808439292045485],[-71.52887056610064,41.8057522314689],[-71.52887056610064,41.80408875653842],[-71.53144548675556,41.80306505819115],[-71.53429935714682,41.802873112930286],[-71.53726051589986,41.80252121179223],[-71.54103706619273,41.802105326136925],[-71.54515693923918,41.80168943778234]]]}""}], ""Days_Since_Last_Inspection"": ""never"", ""certain"": ""1"", ""Facility_Street"": ""23 GREEN HILL RD"", ""multiple"": 0}",1402,501701,None,5,None,never,AMERICAN DISPOSAL INC,RI,23 GREEN HILL RD,ObjectID(52605256cdc3fd11fee7714c),"[{u'area': 1275812.2144902814, u'id': u'OpenLayers_Feature_Vector_316', u'area_geometry': u'{""type"":""Polygon"",""coordinates"":[[[-71.54515693923918,41.80168943778234],[-71.54556463501001,41.803576909408534],[-71.54500673553467,41.805496315059536],[-71.54174516937259,41.80946290452485],[-71.53814028045605,41.811765972803336],[-71.53316210052432,41.81240569929658],[-71.52818392059349,41.81112623992038],[-71.52681062957741,41.80984675498796],[-71.52646730682385,41.808439292045485],[-71.5286989047243,41.808439292045485],[-71.52887056610064,41.8057522314689],[-71.52887056610064,41.80408875653842],[-71.53144548675556,41.80306505819115],[-71.53429935714682,41.802873112930286],[-71.53726051589986,41.80252121179223],[-71.54103706619273,41.802105326136925],[-71.54515693923918,41.80168943778234]]]}'}]",1,0,0,501701
None,2014-04-11T18:03:18.873345,2014-04-11T18:03:18.873363,629901,"{""X_id"": ""ObjectID(52605256cdc3fd11fee7714d)"", ""task_id"": 501702, ""Facility_State"": ""MA"", ""skip"": ""1"", ""Facility_Name"": ""AMHERST LANDFILL - NEW"", ""area"": 0, ""Days_Since_Last_Inspection"": ""3266"", ""certain"": -1, ""Facility_Street"": ""740 BELCHERTOWN RD"", ""multiple"": 0}",1402,501702,None,None,216.165.95.69,3266,AMHERST LANDFILL - NEW,MA,740 BELCHERTOWN RD,ObjectID(52605256cdc3fd11fee7714d),0,-1,0,1,501702
None,2014-04-11T18:03:37.599809,2014-04-11T18:03:37.599828,629902,"{""X_id"": ""ObjectID(52605256cdc3fd11fee7714c)"", ""task_id"": 501701, ""Facility_State"": ""RI"", ""skip"": ""1"", ""Facility_Name"": ""AMERICAN DISPOSAL INC"", ""area"": 0, ""Days_Since_Last_Inspection"": ""never"", ""certain"": -1, ""Facility_Street"": ""23 GREEN HILL RD"", ""multiple"": 0}",1402,501701,None,4039,None,never,AMERICAN DISPOSAL INC,RI,23 GREEN HILL RD,ObjectID(52605256cdc3fd11fee7714c),0,-1,0,1,501701
None,2014-04-11T18:03:58.458460,2014-04-11T18:03:58.458477,629903,"{""X_id"": ""ObjectID(52605256cdc3fd11fee7714e)"", ""task_id"": 501703, ""Facility_State"": ""CT"", ""skip"": 0, ""Facility_Name"": ""ASTI WASTE SYSTEMS"", ""area"": [{""area"": 300607.71576248214, ""id"": ""OpenLayers_Feature_Vector_735"", ""area_geometry"": ""{\""type\"":\""Polygon\"",\""coordinates\"":[[[-73.42464753303524,41.546293322431104],[-73.4263641468049,41.54976204964509],[-73.42730828437743,41.55005110184557],[-73.42833825263996,41.55045256109086],[-73.42805930290183,41.55196202554431],[-73.43132086906391,41.55258828236564],[-73.43226500663735,41.55244376209922],[-73.43254395637456,41.55223501003243],[-73.43241521034187,41.55139999502592],[-73.43108483467121,41.54699993010576],[-73.43037673149047,41.54675904199342],[-73.42990466270419,41.546871456557305],[-73.42938967857339,41.54674298275425],[-73.42846699867265,41.545634885601864],[-73.42728682670563,41.54561882608344],[-73.42471190605158,41.546293322431104],[-73.42464753303524,41.546293322431104]]]}""}], ""Days_Since_Last_Inspection"": ""9254"", ""certain"": -1, ""Facility_Street"": ""182-2 DANBURY RD"", ""multiple"": 0}",1402,501703,None,None,216.165.95.69,9254,ASTI WASTE SYSTEMS,CT,182-2 DANBURY RD,ObjectID(52605256cdc3fd11fee7714e),"[{u'area': 300607.71576248214, u'id': u'OpenLayers_Feature_Vector_735', u'area_geometry': u'{""type"":""Polygon"",""coordinates"":[[[-73.42464753303524,41.546293322431104],[-73.4263641468049,41.54976204964509],[-73.42730828437743,41.55005110184557],[-73.42833825263996,41.55045256109086],[-73.42805930290183,41.55196202554431],[-73.43132086906391,41.55258828236564],[-73.43226500663735,41.55244376209922],[-73.43254395637456,41.55223501003243],[-73.43241521034187,41.55139999502592],[-73.43108483467121,41.54699993010576],[-73.43037673149047,41.54675904199342],[-73.42990466270419,41.546871456557305],[-73.42938967857339,41.54674298275425],[-73.42846699867265,41.545634885601864],[-73.42728682670563,41.54561882608344],[-73.42471190605158,41.546293322431104],[-73.42464753303524,41.546293322431104]]]}'}]",-1,0,0,501703
None,2014-04-11T18:03:58.556272,2014-04-11T18:03:58.556288,629904,"{""X_id"": ""ObjectID(52605256cdc3fd11fee7714c)"", ""task_id"": 501701, ""Facility_State"": ""RI"", ""skip"": 0, ""Facility_Name"": ""AMERICAN DISPOSAL INC"", ""area"": [{""area"": 1114961.9385688761, ""id"": ""OpenLayers_Feature_Vector_521"", ""area_geometry"": ""{\""type\"":\""Polygon\"",\""coordinates\"":[[[-71.5342107371843,41.81284982596986],[-71.53698993529632,41.812117983252904],[-71.54271313021436,41.80858403902158],[-71.54565539825218,41.80419768441481],[-71.54516444922862,41.80212596115207],[-71.53682685489347,41.80285663908617],[-71.53208556849958,41.803465742851074],[-71.52996039981487,41.804685213861966],[-71.52816139193761,41.80834092998436],[-71.52963424948534,41.80955902745038],[-71.53126845866944,41.80919436909924],[-71.53094059004873,41.81199643555529],[-71.5342107371843,41.81284982596986]]]}""}], ""Days_Since_Last_Inspection"": ""never"", ""certain"": -1, ""Facility_Street"": ""23 GREEN HILL RD"", ""multiple"": 0}",1402,501701,None,None,216.165.95.70,never,AMERICAN DISPOSAL INC,RI,23 GREEN HILL RD,ObjectID(52605256cdc3fd11fee7714c),"[{u'area': 1114961.9385688761, u'id': u'OpenLayers_Feature_Vector_521', u'area_geometry': u'{""type"":""Polygon"",""coordinates"":[[[-71.5342107371843,41.81284982596986],[-71.53698993529632,41.812117983252904],[-71.54271313021436,41.80858403902158],[-71.54565539825218,41.80419768441481],[-71.54516444922862,41.80212596115207],[-71.53682685489347,41.80285663908617],[-71.53208556849958,41.803465742851074],[-71.52996039981487,41.804685213861966],[-71.52816139193761,41.80834092998436],[-71.52963424948534,41.80955902745038],[-71.53126845866944,41.80919436909924],[-71.53094059004873,41.81199643555529],[-71.5342107371843,41.81284982596986]]]}'}]",-1,0,0,501701
None,2014-04-11T18:04:01.976281,2014-04-11T18:04:01.976300,629905,"{""X_id"": ""ObjectID(52605256cdc3fd11fee7714d)"", ""task_id"": 501702, ""Facility_State"": ""MA"", ""skip"": 0, ""Facility_Name"": ""AMHERST LANDFILL - NEW"", ""area"": [{""area"": 145322.84045764743, ""id"": ""OpenLayers_Feature_Vector_571"", ""area_geometry"": ""{\""type\"":\""Polygon\"",\""coordinates\"":[[[-72.48043227249183,42.355712710567595],[-72.48279261642497,42.35647382812253],[-72.48442339950557,42.35412701938756],[-72.48418736511287,42.353619589760605],[-72.48431611114559,42.35308044129209],[-72.48502421432543,42.35266814816614],[-72.48528170639084,42.351811838417035],[-72.48457360321099,42.35084451151944],[-72.48292136245767,42.35157397252739],[-72.48133349472073,42.35365130423191],[-72.48032498413093,42.35384159072626],[-72.47972416931195,42.354206304896984],[-72.47978854232831,42.355712710567595],[-72.48043227249183,42.355712710567595]]]}""}, {""area"": 104889.54808553384, ""id"": ""OpenLayers_Feature_Vector_669"", ""area_geometry"": ""{\""type\"":\""Polygon\"",\""coordinates\"":[[[-72.47948813491927,42.356077413879824],[-72.47871565872217,42.356822670587604],[-72.47989583068919,42.35739349953569],[-72.47912335449298,42.35866198974499],[-72.47832942062406,42.35889982880852],[-72.4778788095096,42.36008901062288],[-72.47702050262522,42.360453688537056],[-72.47601199203544,42.35793261100372],[-72.47663426452712,42.356093270497325],[-72.47794318252595,42.35534800513887],[-72.47948813491927,42.356077413879824]]]}""}], ""Days_Since_Last_Inspection"": ""3266"", ""certain"": ""0"", ""Facility_Street"": ""740 BELCHERTOWN RD"", ""multiple"": 0}",1402,501702,None,4038,None,3266,AMHERST LANDFILL - NEW,MA,740 BELCHERTOWN RD,ObjectID(52605256cdc3fd11fee7714d),"[{u'area': 145322.84045764743, u'id': u'OpenLayers_Feature_Vector_571', u'area_geometry': u'{""type"":""Polygon"",""coordinates"":[[[-72.48043227249183,42.355712710567595],[-72.48279261642497,42.35647382812253],[-72.48442339950557,42.35412701938756],[-72.48418736511287,42.353619589760605],[-72.48431611114559,42.35308044129209],[-72.48502421432543,42.35266814816614],[-72.48528170639084,42.351811838417035],[-72.48457360321099,42.35084451151944],[-72.48292136245767,42.35157397252739],[-72.48133349472073,42.35365130423191],[-72.48032498413093,42.35384159072626],[-72.47972416931195,42.354206304896984],[-72.47978854232831,42.355712710567595],[-72.48043227249183,42.355712710567595]]]}'}, {u'area': 104889.54808553384, u'id': u'OpenLayers_Feature_Vector_669', u'area_geometry': u'{""type"":""Polygon"",""coordinates"":[[[-72.47948813491927,42.356077413879824],[-72.47871565872217,42.356822670587604],[-72.47989583068919,42.35739349953569],[-72.47912335449298,42.35866198974499],[-72.47832942062406,42.35889982880852],[-72.4778788095096,42.36008901062288],[-72.47702050262522,42.360453688537056],[-72.47601199203544,42.35793261100372],[-72.47663426452712,42.356093270497325],[-72.47794318252595,42.35534800513887],[-72.47948813491927,42.356077413879824]]]}'}]",0,0,0,501702
None,2014-04-11T18:04:12.891573,2014-04-11T18:04:12.891589,629906,"{""X_id"": ""ObjectID(52605256cdc3fd11fee7714f)"", ""task_id"": 501704, ""Facility_State"": ""CT"", ""skip"": ""1"", ""Facility_Name"": ""AUTO WASTE PAC CO"", ""area"": 0, ""Days_Since_Last_Inspection"": ""never"", ""certain"": -1, ""Facility_Street"": ""665 NUTMEG RD"", ""multiple"": 0}",1402,501704,None,None,216.165.95.69,never,AUTO WASTE PAC CO,CT,665 NUTMEG RD,ObjectID(52605256cdc3fd11fee7714f),0,-1,0,1,501704
None,2014-04-11T18:04:13.241909,2014-04-11T18:04:13.241942,629907,"{""X_id"": ""ObjectID(52605256cdc3fd11fee7714c)"", ""task_id"": 501701, ""Facility_State"": ""RI"", ""skip"": 0, ""Facility_Name"": ""AMERICAN DISPOSAL INC"", ""area"": [{""area"": 912814.2921712241, ""id"": ""OpenLayers_Feature_Vector_446"", ""area_geometry"": ""{\""type\"":\""Polygon\"",\""coordinates\"":[[[-71.54508634789848,41.80178699142648],[-71.5322975753156,41.803450526115775],[-71.5298943160379,41.80642558623269],[-71.53058096154595,41.80847285918676],[-71.53182550652842,41.81048807960281],[-71.53937860711508,41.81055205381635],[-71.54328390344065,41.807737128000205],[-71.54581590875016,41.803450526115775],[-71.54581590875016,41.80338654481052],[-71.54555841668476,41.80332256344203],[-71.54508634789848,41.80178699142648]]]}""}], ""Days_Since_Last_Inspection"": ""never"", ""certain"": -1, ""Facility_Street"": ""23 GREEN HILL RD"", ""multiple"": 0}",1402,501701,None,None,216.165.95.75,never,AMERICAN DISPOSAL INC,RI,23 GREEN HILL RD,ObjectID(52605256cdc3fd11fee7714c),"[{u'area': 912814.2921712241, u'id': u'OpenLayers_Feature_Vector_446', u'area_geometry': u'{""type"":""Polygon"",""coordinates"":[[[-71.54508634789848,41.80178699142648],[-71.5322975753156,41.803450526115775],[-71.5298943160379,41.80642558623269],[-71.53058096154595,41.80847285918676],[-71.53182550652842,41.81048807960281],[-71.53937860711508,41.81055205381635],[-71.54328390344065,41.807737128000205],[-71.54581590875016,41.803450526115775],[-71.54581590875016,41.80338654481052],[-71.54555841668476,41.80332256344203],[-71.54508634789848,41.80178699142648]]]}'}]",-1,0,0,501701
None,2014-04-11T18:04:32.302278,2014-04-11T18:04:32.302295,629908,"{""X_id"": ""ObjectID(52605256cdc3fd11fee77150)"", ""task_id"": 501705, ""Facility_State"": ""MA"", ""skip"": ""1"", ""Facility_Name"": ""BARRE RECYCLING & TRANSFER CENTER"", ""area"": 0, ""Days_Since_Last_Inspection"": ""2810"", ""certain"": -1, ""Facility_Street"": ""72 BARRE DEPOT RD"", ""multiple"": 0}",1402,501705,None,None,216.165.95.69,2810,BARRE RECYCLING & TRANSFER CENTER,MA,72 BARRE DEPOT RD,ObjectID(52605256cdc3fd11fee77150),0,-1,0,1,501705
